date,sample_period,village,household,specimen_id,sample_id,cryo_id,coliform,chicken_breed,box_number,isolate_number,drug_code,drug_name,drug_class,halo_ring,round_halo_ring,drug_result,result_category
2-Jul-15,1,1,10,15-7-T-H10-C1-2,2C10P1.2,80.2,mu_pos,0,4,2,S,streptomycin ,aminoglycoside,15.67,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B8-3,2C1B8.3,17.3,mu_pos,1,1,3,GM,gentamicin,aminoglycoside,15.69,16,0,susceptible
10-Jun-15,0,1,4,15-6-T-H4-C4-3,C4P4.3,29.3,mu_neg,0,,3,GM,gentamicin,aminoglycoside,15.7,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C4-3,2C1P4.3,3.3,mu_pos,0,1,3,S,streptomycin ,aminoglycoside,15.7,16,0,susceptible
10-Jun-15,0,1,3,15-6-T-H3-C4-3,C3P4.3,24.3,mu_neg,0,,3,GM,gentamicin,aminoglycoside,15.73,16,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C2-1,C5P2.1,92.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,15.74,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C7-1,2C9P7.1,76.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,15.74,16,0,susceptible
12-Jun-15,0,0,4,15-6-P-H4-C3-1,C4P3.1,88.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,15.75,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C1-1,2C9P1.1,70.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,15.75,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C5-3,2C9P5.3,74.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,15.76,16,0,susceptible
12-Jun-15,0,0,9,15-6-P-H9-C4-2,C9P4.2,114.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.78,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C5-3,2C3P5.3,29.3,mu_pos,0,2,3,S,streptomycin ,aminoglycoside,15.78,16,0,susceptible
2-Jul-15,1,1,6,15-7-T-H6-B1-2,2C6B2.2,49.2,mu_pos,1,3,2,S,streptomycin ,aminoglycoside,15.78,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C1-1,2C3P1.1,25.1,mu_pos,0,2,1,GM,gentamicin,aminoglycoside,15.79,16,0,susceptible
12-Jun-15,0,0,10,15-6-P-H10-C1-3,C10P1.3,116.3,mu_pos,0,,3,S,streptomycin ,aminoglycoside,15.79,16,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C9-1,2C7P9.1,65.1,mu_pos,0,3,1,S,streptomycin ,aminoglycoside,15.79,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C4-1,2C9P4.1,73.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,15.79,16,0,susceptible
12-Jun-15,0,0,6,15-6-P-H6-C5-1,C6P5.1,100.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,15.8,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C4-1,C1P4.1,74.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,15.8,16,0,susceptible
12-Jun-15,0,0,4,15-6-P-H4-C4-3,C4P4.3,89.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,15.83,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C1-2,C1P1.2,71.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,15.83,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C10-1,2C3P10.1,34.1,mu_pos,0,2,1,Te,tetracycline,tetracycline,15.86,16,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C5-3,C5P5.3,95.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,15.87,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C9-2,2C9P9.2,78.2,mu_pos,0,4,2,GM,gentamicin,aminoglycoside,15.87,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C4-2,C1P4.2,74.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,15.87,16,0,susceptible
12-Jun-15,0,1,7,15-6-T-H7-C5-2,C7P5.2,55.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.91,16,0,susceptible
12-Jun-15,0,0,10,15-6-P-H10-C4-2,C10P4.2,119.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,15.91,16,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C1-1,C3P1.1,81.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,15.94,16,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C3-2,C3P3.2,83.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.94,16,0,susceptible
10-Jun-15,0,1,3,15-6-T-H3-C3-2,C3P3.2,23.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.95,16,0,susceptible
10-Jun-15,0,1,4,15-6-T-H4-C4-3,C4P3.3,27.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,15.95,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C8-3,2C1P8.3,7.3,mu_pos,0,1,3,GM,gentamicin,aminoglycoside,15.95,16,0,susceptible
2-Jul-15,1,1,5,15-7-T-H5-C3-1,2C5P3.1,45.1,mu_pos,0,3,2,S,streptomycin ,aminoglycoside,15.95,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C2-2,C1P2.2,72.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,15.96,16,0,susceptible
2-Jul-15,1,1,10,15-7-T-H10-C5-2,2C10P5.2,84.2,mu_pos,0,4,2,S,streptomycin ,aminoglycoside,15.96,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B10-3,2C1B10.3,19.3,mu_pos,1,1,3,S,streptomycin ,aminoglycoside,15.97,16,0,susceptible
10-Jun-15,0,1,1,15-6-T-H1-C3-2,C1P3.2,13.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.99,16,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C4-1,C5P4.1,34.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.02,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C7-1,2C1P7.1,6.1,mu_pos,0,1,1,GM,gentamicin,aminoglycoside,16.02,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C7-2,2C3P7.2,31.2,mu_pos,0,2,2,S,streptomycin ,aminoglycoside,16.04,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B7-3,2C1B7.3,16.3,mu_neg,1,1,3,GM,gentamicin,aminoglycoside,16.06,16,0,susceptible
12-Jun-15,0,1,6,15-6-T-H6-B2-2,C6B2.2,42.2,mu_neg,1,,2,GM,gentamicin,aminoglycoside,16.07,16,0,susceptible
2-Jul-15,1,1,8,15-7-T-H8-C2-3,2C8P2.3,68.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.08,16,0,susceptible
10-Jun-15,0,1,2,15-6-T-H2-C3-1,C2P3.1,18.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.09,16,0,susceptible
10-Jun-15,0,1,1,15-6-T-H1-C4-3,C1P4.3,14.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.1,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C3-3,2C3P3.3,27.3,mu_pos,0,2,3,S,streptomycin ,aminoglycoside,16.12,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C7-1,2C3P7.1,31.1,mu_pos,0,2,1,S,streptomycin ,aminoglycoside,16.12,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C9-2,2C3P9.2,33.2,mu_pos,0,2,2,S,streptomycin ,aminoglycoside,16.12,16,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C4-3,C5P4.3,34.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.17,16,0,susceptible
2-Jul-15,1,1,10,15-7-T-H10-C1-1,2C10P1.1,80.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,16.17,16,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C4-2,C5P4.2,93.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.19,16,0,susceptible
10-Jun-15,0,1,6,15-6-T-H6-C4-3,C6P4.3,39.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.2,16,0,susceptible
12-Jun-15,0,1,7,15-6-T-H7-C3-3,C7P3.3,53.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.2,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C3-1,2C1P3.1,2.1,mu_pos,0,1,1,S,streptomycin ,aminoglycoside,16.21,16,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C1-2,2C7P1.2,58.2,mu_pos,0,3,2,S,streptomycin ,aminoglycoside,16.23,16,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C10-1,2C7P10.1,66.1,mu_pos,0,3,1,S,streptomycin ,aminoglycoside,16.23,16,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C1-3,2C4P1.3,35.3,mu_pos,0,2,3,S,streptomycin ,aminoglycoside,16.26,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C3-3,2C9P3.3,72.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.26,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C8-2,2C9P8.2,77.2,mu_pos,0,4,2,S,streptomycin ,aminoglycoside,16.26,16,0,susceptible
10-Jun-15,0,1,1,15-6-T-H1-C5-2,C1P5.2,15.2,mu_pos,0,,2,Te,tetracycline,tetracycline,16.26,16,0,susceptible
12-Jun-15,0,1,9,15-6-T-H9-C4-3,C9P4.3,64.3,mu_pos,0,,3,S,streptomycin ,aminoglycoside,16.27,16,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C2-3,C3P2.3,82.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.29,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C2-3,2C9P2.3,71.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.29,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B7-1,2C1B7.1,16.1,mu_pos,1,1,1,GM,gentamicin,aminoglycoside,16.3,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C3-1,C1P3.1,73.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,16.32,16,0,susceptible
2-Jul-15,1,1,10,15-7-T-H10-C2-2,2C10P2.2,81.2,mu_pos,0,4,2,S,streptomycin ,aminoglycoside,16.32,16,0,susceptible
12-Jun-15,0,0,6,15-6-P-H6-C5-2,C6P5.2,100.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,16.34,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C6-1,2C9P6.1,75.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,16.34,16,0,susceptible
2-Jul-15,1,1,2,15-7-T-H2-C5-3,2C2P5.3,23.3,mu_pos,0,2,3,Te,tetracycline,tetracycline,16.34,16,0,susceptible
10-Jun-15,0,1,1,15-6-T-H1-C4-2,C1P4.2,14.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.35,16,0,susceptible
12-Jun-15,0,0,6,15-6-P-H6-C1-1,C6P1.1,96.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.36,16,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C1-1,2C4P1.1,35.1,mu_pos,0,2,1,S,streptomycin ,aminoglycoside,16.37,16,0,susceptible
2-Jul-15,1,1,6,15-7-T-H6-B1-1,2C6B1.1,48.1,mu_pos,1,3,1,GM,gentamicin,aminoglycoside,16.41,16,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C1-3,2C7P1.3,58.3,mu_pos,0,3,3,S,streptomycin ,aminoglycoside,16.41,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C7-3,2C9P7.3,76.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.41,16,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C4-1,C5P4.1,93.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.42,16,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C5-1,C5P5.1,95.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.42,16,0,susceptible
2-Jul-15,1,1,10,15-7-T-H10-C6-2,2C10P6.2,85.2,mu_pos,0,4,2,S,streptomycin ,aminoglycoside,16.43,16,0,susceptible
10-Jun-15,0,1,2,15-6-T-H2-C3-3,C2P3.3,18.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.44,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C2-1,2C3P2.1,26.1,mu_pos,0,2,1,GM,gentamicin,aminoglycoside,16.44,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C3-3,C1P3.3,73.3,mu_pos,0,,3,S,streptomycin ,aminoglycoside,16.44,16,0,susceptible
12-Jun-15,0,1,6,15-6-T-H6-B4-2,C6B4.2,44.2,mu_pos,1,,2,GM,gentamicin,aminoglycoside,16.46,16,0,susceptible
2-Jul-15,1,1,10,15-7-T-H10-C1-3,2C10P1.3,80.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.47,16,0,susceptible
10-Jun-15,0,1,4,15-6-T-H4-C4-3,C4P1.3,26.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.48,16,0,susceptible
10-Jun-15,0,1,6,15-6-T-H6-C4-2,C6P4.2,39.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.48,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C1-3,2C3P1.3,25.3,mu_pos,0,2,3,GM,gentamicin,aminoglycoside,16.49,16,0,susceptible
12-Jun-15,0,1,9,15-6-T-H9-C4-2,C9P4.2,64.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,16.49,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C4-3,2C9P4.3,73.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.49,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C3-2,2C1P3.2,2.2,mu_pos,0,1,2,S,streptomycin ,aminoglycoside,16.51,17,0,susceptible
12-Jun-15,0,0,2,15-6-P-H2-C3-2,C2P3.2,78.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,16.53,17,0,susceptible
2-Jul-15,1,1,8,15-7-T-H8-C2-1,2C8P2.1,68.1,mu_pos,0,3,1,S,streptomycin ,aminoglycoside,16.57,17,0,susceptible
12-Jun-15,0,0,4,15-6-P-H4-C4-2,C4P4.2,89.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.58,17,0,susceptible
12-Jun-15,0,0,7,15-6-P-H7-C1-1,C7P1.1,101.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.58,17,0,susceptible
12-Jun-15,0,0,7,15-6-P-H7-C1-2,C7P1.2,101.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.58,17,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C7-3,2C4P7.3,41.3,mu_pos,0,2,3,GM,gentamicin,aminoglycoside,16.59,17,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C3-2,2C4P3.2,37.2,mu_pos,0,2,2,GM,gentamicin,aminoglycoside,16.6,17,0,susceptible
10-Jun-15,0,1,1,15-6-T-H1-C4-1,C1P4.1,14.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.61,17,0,susceptible
12-Jun-15,0,0,4,15-6-P-H5-C1-3,C5P1.3,90.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.64,17,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C7-2,2C1P7.2,6.2,mu_pos,0,1,2,GM,gentamicin,aminoglycoside,16.64,17,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B8-1,2C1B8.1,17.1,mu_neg,1,1,1,GM,gentamicin,aminoglycoside,16.64,17,0,susceptible
2-Jul-15,1,1,6,15-7-T-H6-C1-3,2C6P1.3,47.3,mu_pos,0,3,3,S,streptomycin ,aminoglycoside,16.64,17,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B9-3,2C1B9.3,18.3,mu_pos,1,1,3,S,streptomycin ,aminoglycoside,16.66,17,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B10-1,2C1B10.1,19.1,mu_pos,1,1,1,S,streptomycin ,aminoglycoside,16.67,17,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C8-3,2C9P8.3,77.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,16.67,17,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C5-2,2C7P5.2,62.2,mu_pos,0,3,2,S,streptomycin ,aminoglycoside,16.68,17,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C2-2,C5P2.2,32.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.7,17,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C5-3,2C4P5.3,39.3,mu_pos,0,2,3,GM,gentamicin,aminoglycoside,16.71,17,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C4-2,C5P4.2,94.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.72,17,0,susceptible
12-Jun-15,0,1,9,15-6-T-H9-C1-2,C9P1.2,61.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,16.75,17,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C4-2,2C7P4.2,61.2,mu_pos,0,3,2,S,streptomycin ,aminoglycoside,16.77,17,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C5-1,2C9P5.1,74.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,16.77,17,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C1-1,C5P1.1,31.1,mu_neg,0,,1,Te,tetracycline,tetracycline,16.77,17,0,susceptible
10-Jun-15,0,1,3,15-6-T-H3-C5-3,C3P5.3,25.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.78,17,0,susceptible
12-Jun-15,0,0,7,15-6-P-H7-C4-3,C7P4.3,104.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.8,17,0,susceptible
2-Jul-15,1,1,2,15-7-T-H2-C6-2,2C2P6.2,24.2,mu_pos,0,2,2,Te,tetracycline,tetracycline,16.81,17,0,susceptible
12-Jun-15,0,1,6,15-6-T-H6-B6-3,C6B6.3,46.3,mu_neg,1,,3,GM,gentamicin,aminoglycoside,16.82,17,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C5-1,C5P5.1,35.1,mu_pos,0,,1,Te,tetracycline,tetracycline,16.82,17,0,susceptible
10-Jun-15,0,1,3,15-6-T-H3-C3-1,C3P3.1,23.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.83,17,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C5-1,C5P5.1,35.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.83,17,0,susceptible
12-Jun-15,0,0,6,15-6-P-H6-C4-1,C6P4.1,99.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.84,17,0,susceptible
12-Jun-15,0,0,2,15-6-P-H2-C2-1,C2P2.1,77.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,16.85,17,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B1-1,2C1B1.1,10.1,mu_pos,1,1,1,S,streptomycin ,aminoglycoside,16.86,17,0,susceptible
2-Jul-15,1,1,2,15-7-T-H2-C4-1,2C2P4.1,22.1,mu_pos,0,1,1,S,streptomycin ,aminoglycoside,16.86,17,0,susceptible
10-Jun-15,0,1,2,15-6-T-H2-C4-2,C2P4.2,19.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,16.88,17,0,susceptible
12-Jun-15,0,0,9,15-6-P-H9-C4-3,C9P4.3,114.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,16.92,17,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-B4-2,2C1B4.2,13.2,mu_neg,1,1,2,GM,gentamicin,aminoglycoside,16.92,17,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C4-3,2C4P4.3,38.3,mu_pos,0,2,3,Te,tetracycline,tetracycline,16.92,17,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C5-2,2C4P5.2,39.2,mu_pos,0,2,2,Te,tetracycline,tetracycline,16.96,17,0,susceptible
10-Jun-15,0,1,2,15-6-T-H2-C5-3,C2P5.3,20.3,mu_pos,0,,3,Te,tetracycline,tetracycline,16.97,17,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C3-1,C3P3.1,83.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,16.98,17,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C2-2,2C3P2.2,26.2,mu_pos,0,2,2,GM,gentamicin,aminoglycoside,16.99,17,0,susceptible
12-Jun-15,0,0,2,15-6-P-H2-C4-1,C2P4.1,79.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,16.99,17,0,susceptible
12-Jun-15,0,0,5,15-6-P-H5-C4-3,C5P4.3,93.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,17.01,17,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C6-2,2C9P6.2,75.2,mu_pos,0,4,2,S,streptomycin ,aminoglycoside,17.01,17,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C3-3,2C7P3.3,60.3,mu_pos,0,3,3,SXT,sulfamethoxazole–trimethoprim,sulfonamide,17.02,17,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C4-2,C5P4.2,34.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,17.02,17,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C5-3,C3P5.3,85.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,17.02,17,0,susceptible
12-Jun-15,0,1,6,15-6-T-H6-B1-3,C6B1.3,41.3,mu_pos,1,,3,GM,gentamicin,aminoglycoside,17.03,17,0,susceptible
10-Jun-15,0,1,5,15-6-T-H5-C3-1,C5P3.1,33.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,17.04,17,0,susceptible
12-Jun-15,0,1,6,15-6-T-H6-B2-3,C6B2.3,42.3,mu_pos,1,,3,GM,gentamicin,aminoglycoside,17.05,17,0,susceptible
12-Jun-15,0,1,7,15-6-T-H7-C5-1,C7P5.1,55.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,17.05,17,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C1-2,C3P1.2,81.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,17.05,17,0,susceptible
2-Jul-15,1,1,10,15-7-T-H10-C6-1,2C10P6.1,85.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,17.05,17,0,susceptible
12-Jun-15,0,0,3,15-6-P-H3-C4-2,C3P4.2,84.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,17.06,17,0,susceptible
2-Jul-15,1,1,6,15-7-T-H6-B1-2,2C6B1.2,48.2,mu_pos,1,3,2,GM,gentamicin,aminoglycoside,17.07,17,0,susceptible
12-Jun-15,0,0,9,15-6-T-H1-C1-2,C1P1.2,11.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,17.08,17,0,susceptible
10-Jun-15,0,1,3,15-6-T-H3-C2-3,C3P2.3,22.3,mu_pos,0,,3,GM,gentamicin,aminoglycoside,17.09,17,0,susceptible
10-Jun-15,0,1,3,15-6-T-H3-C5-2,C3P5.2,25.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,17.1,17,0,susceptible
12-Jun-15,0,0,9,15-6-P-H9-C2-2,C9P2.2,112.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,17.1,17,0,susceptible
2-Jul-15,1,1,7,15-7-T-H7-C5-1,2C7P5.1,62.1,mu_pos,0,3,1,SXT,sulfamethoxazole–trimethoprim,sulfonamide,17.11,17,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C3-2,2C3P3.2,27.2,mu_pos,0,2,2,GM,gentamicin,aminoglycoside,17.11,17,0,susceptible
